Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,1159
design__instance__area,9.7186E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,599
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,115
design__max_cap_violation__count__corner:nom_tt_025C_5v00,453
power__internal__total,0.055094312876462936
power__switching__total,0.028842763975262642
power__leakage__total,0.000008572956176067237
power__total,0.08394565433263779
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-2.7015634938231075
clock__skew__worst_setup__corner:nom_tt_025C_5v00,2.7015634938231075
timing__hold__ws__corner:nom_tt_025C_5v00,0.5613358825534998
timing__setup__ws__corner:nom_tt_025C_5v00,32.98361854778605
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.561336
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,86.526642
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,879
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,115
design__max_cap_violation__count__corner:nom_ss_125C_4v50,456
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-2.667034224513081
clock__skew__worst_setup__corner:nom_ss_125C_4v50,2.667034224513081
timing__hold__ws__corner:nom_ss_125C_4v50,1.305644074256603
timing__setup__ws__corner:nom_ss_125C_4v50,3.4586023912650314
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.305644
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,83.613319
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,548
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,115
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,453
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-2.569927898784073
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,2.569927898784073
timing__hold__ws__corner:nom_ff_n40C_5v50,0.23401592437338178
timing__setup__ws__corner:nom_ff_n40C_5v50,46.48567529150849
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.234016
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,87.801247
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,593
design__max_fanout_violation__count__corner:min_tt_025C_5v00,115
design__max_cap_violation__count__corner:min_tt_025C_5v00,417
clock__skew__worst_hold__corner:min_tt_025C_5v00,-2.268288954202078
clock__skew__worst_setup__corner:min_tt_025C_5v00,2.268288954202078
timing__hold__ws__corner:min_tt_025C_5v00,0.5602949374161712
timing__setup__ws__corner:min_tt_025C_5v00,34.76594399657429
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.560295
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,86.553680
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,786
design__max_fanout_violation__count__corner:min_ss_125C_4v50,115
design__max_cap_violation__count__corner:min_ss_125C_4v50,419
clock__skew__worst_hold__corner:min_ss_125C_4v50,-2.202027511549373
clock__skew__worst_setup__corner:min_ss_125C_4v50,2.202027511549373
timing__hold__ws__corner:min_ss_125C_4v50,1.3032699732736004
timing__setup__ws__corner:min_ss_125C_4v50,6.640448379124298
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.303270
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,83.660645
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,513
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,115
design__max_cap_violation__count__corner:min_ff_n40C_5v50,417
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-2.193117083346332
clock__skew__worst_setup__corner:min_ff_n40C_5v50,2.193117083346332
timing__hold__ws__corner:min_ff_n40C_5v50,0.2336393367127783
timing__setup__ws__corner:min_ff_n40C_5v50,47.626011149526065
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.233639
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,87.819221
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,620
design__max_fanout_violation__count__corner:max_tt_025C_5v00,115
design__max_cap_violation__count__corner:max_tt_025C_5v00,495
clock__skew__worst_hold__corner:max_tt_025C_5v00,-3.15007540079885
